index;p_err;d_err;i_err;rb_speed;U_control;angle
233;-0,6708489;0,6481782;-3,434368;38,29596;-0,4052542;-0,0068
234;-0,6681608;0,6450174;-3,445506;38,42691;-0,4181339;-0,007
235;-0,6654863;0,6417422;-3,456599;38,55768;-0,4316023;-0,0072
236;-0,6628258;0,6383954;-3,467649;38,68826;-0,4454472;-0,0074
237;-0,6601796;0,6349772;-3,478654;38,81865;-0,4596696;-0,0077
238;-0,6575478;0,6314874;-3,489615;38,94886;-0,4742703;-0,0079
239;-0,6549309;0,6279262;-3,500533;39,07889;-0,4892504;-0,0082
240;-0,6523293;0,6242648;-3,511407;39,20873;-0,5047535;-0,0084
241;-0,6497431;0,6205748;-3,522238;39,33838;-0,5204244;-0,0087
242;-0,6471726;0,6167848;-3,533027;39,46785;-0,5366203;-0,0089
243;-0,6446182;0,6129374;-3,543772;39,59713;-0,553129;-0,0092
244;-0,6420801;0,6090186;-3,554476;39,72623;-0,5700217;-0,0095
245;-0,6395587;0,605014;-3,565137;39,85514;-0,5873715;-0,0098
246;-0,6370541;0,6009951;-3,575757;39,98388;-0,6048227;-0,0101
247;-0,6345667;0,5968617;-3,586335;40,11242;-0,6228752;-0,0104
248;-0,6320968;0,5926568;-3,596872;40,24078;-0,6413162;-0,0107
249;-0,6296445;0,5884234;-3,607368;40,36895;-0,6599327;-0,011
250;-0,6272103;0,5840898;-3,617824;40,49693;-0,6790823;-0,0113
251;-0,6247944;0,5797133;-3,628239;40,62474;-0,6984807;-0,0116
252;-0,6223969;0,5752653;-3,638615;40,75235;-0,7182714;-0,012
253;-0,6200182;0,5707744;-3,64895;40,87979;-0,7383128;-0,0123
254;-0,6176587;0,5661833;-3,659247;41,00703;-0,7588909;-0,0127
255;-0,6153183;0,561578;-3,669504;41,13409;-0,779579;-0,013
256;-0,6129975;0,5568726;-3,679723;41,26097;-0,8008054;-0,0133
257;-0,6106967;0,5520957;-3,689903;41,38766;-0,8224291;-0,0137
258;-0,6084158;0,5472901;-3,700045;41,51417;-0,8442371;-0,0141
259;-0,6061554;0,5423987;-3,71015;41,64049;-0,8665152;-0,0144
260;-0,6039155;0,5374787;-3,720217;41,76663;-0,8889791;-0,0148
261;-0,6016964;0,5324586;-3,730247;41,89258;-0,9119864;-0,0152
262;-0,5994985;0,5274099;-3,740241;42,01835;-0,9351814;-0,0156
263;-0,5973219;0,5222754;-3,750198;42,14393;-0,9588498;-0,016
264;-0,595167;0,5170694;-3,76012;42,26933;-0,9829224;-0,0164
265;-0,5930339;0,5118491;-3,770005;42,39455;-1,007114;-0,0168
266;-0,590923;0,5065144;-3,779856;42,51958;-1,031925;-0,0172
267;-0,5888343;0,5011796;-3,789672;42,64443;-1,056786;-0,0176
268;-0,5867684;0,4957161;-3,799453;42,76909;-1,082339;-0,018
269;-0,5847254;0,4902241;-3,809201;42,89357;-1,108087;-0,0185
270;-0,5827056;0,4846605;-3,818914;43,01786;-1,134244;-0,0189
271;-0,5807091;0,479054;-3,828595;43,14198;-1,160669;-0,0193
272;-0,5787362;0,4733903;-3,838243;43,26591;-1,187433;-0,0198
273;-0,5767874;0,4676265;-3,847857;43,38966;-1,214752;-0,0202
274;-0,5748627;0,4618341;-3,85744;43,51322;-1,24227;-0,0207
275;-0,5729624;0,4559845;-3,866992;43,6366;-1,270131;-0,0212
276;-0,5710869;0,4500347;-3,876512;43,7598;-1,298549;-0,0216
277;-0,5692363;0,4440564;-3,886001;43,88282;-1,327169;-0,0221
278;-0,5674108;0,4380209;-3,89546;44,00566;-1,356135;-0,0226
279;-0,5656109;0,4318995;-3,904888;44,12831;-1,38559;-0,0231
280;-0,5638367;0,4257209;-3,914288;44,25079;-1,415392;-0,0236
281;-0,5620885;0,4194851;-3,923658;44,37309;-1,445544;-0,0241
282;-0,5603666;0,4131778;-3,932999;44,4952;-1,476115;-0,0246
283;-0,5586711;0,4068276;-3,942312;44,61713;-1,506967;-0,0251
284;-0,5570024;0,4004202;-3,951597;44,73889;-1,538169;-0,0256
285;-0,5553607;0,3939127;-3,960855;44,86046;-1,569938;-0,0262
286;-0,5537463;0,3873766;-3,970086;44,98185;-1,601918;-0,0267
287;-0,5521595;0,3807546;-3,97929;45,10307;-1,634395;-0,0272
288;-0,5506005;0,3741041;-3,988469;45,2241;-1,667084;-0,0278
289;-0,5490696;0,3673391;-3,997622;45,34496;-1,700416;-0,0283
290;-0,547567;0,3605455;-4,00675;45,46564;-1,733962;-0,0289
291;-0,546093;0,3536948;-4,015853;45,58614;-1,767867;-0,0295
292;-0,5446478;0,3467725;-4,024932;45,70646;-1,802203;-0,03
293;-0,5432318;0,3397787;-4,033988;45,8266;-1,83697;-0,0306
294;-0,5418451;0,3327419;-4,043021;45,94656;-1,872028;-0,0312
295;-0,5404881;0,3256051;-4,052031;46,06635;-1,907661;-0,0318
296;-0,539161;0,318454;-4,061018;46,18597;-1,943445;-0,0324
297;-0,537864;0,3112028;-4,069984;46,3054;-1,979807;-0,033
298;-0,5365975;0,3039086;-4,078929;46,42466;-2,016464;-0,0336
299;-0,5353616;0,2965429;-4,087854;46,54374;-2,053558;-0,0342
300;-0,5341568;0,2891058;-4,096758;46,66265;-2,091091;-0,0349
301;-0,5329831;0,2816257;-4,105643;46,78138;-2,128922;-0,0355
302;-0,531841;0,2740598;-4,114509;46,89993;-2,167265;-0,0361
303;-0,5307305;0,2664653;-4,123356;47,01831;-2,205837;-0,0368
304;-0,5296521;0,2587564;-4,132185;47,13652;-2,245064;-0,0374
305;-0,5286059;0,2510332;-4,140997;47,25455;-2,284452;-0,0381
306;-0,5275923;0,2432241;-4,149792;47,37241;-2,324355;-0,0387
307;-0,5266114;0,2353579;-4,158571;47,49009;-2,364634;-0,0394
308;-0,5256637;0,2274202;-4,167334;47,6076;-2,40536;-0,0401
309;-0,5247492;0,2194395;-4,176081;47,72494;-2,446391;-0,0408
310;-0,5238683;0,2113587;-4,184814;47,84211;-2,488015;-0,0415
311;-0,5231053;0,1830832;-4,193534;47,95906;-2,630354;-0,0438
312;-0,5224132;0,1660778;-4,202243;48,07586;-2,716887;-0,0453
313;-0,5217193;0,1665068;-4,21094;48,19252;-2,716761;-0,0453
314;-0,5209561;0,1831261;-4,219624;48,30901;-2,635955;-0,0439
315;-0,5200666;0,2134326;-4,228293;48,4253;-2,486738;-0,0415
316;-0,5190064;0,2543942;-4,236945;48,54137;-2,284044;-0,0381
317;-0,5177439;0,3029504;-4,245576;48,6572;-2,042989;-0,0341
318;-0,5162603;0,3559831;-4,254182;48,77282;-1,77901;-0,0297
319;-0,5146022;0,3978601;-4,26276;48,88828;-1,569939;-0,0262
320;-0,512791;0,4346026;-4,271308;49,00359;-1,385913;-0,0231
321;-0,5108393;0,4683273;-4,279824;49,11876;-1,216449;-0,0203
322;-0,5087568;0,4997065;-4,288305;49,23378;-1,058233;-0,0176
323;-0,5065514;0,5291834;-4,29675;49,34865;-0,9090852;-0,0152
324;-0,50423;0,5570299;-4,305155;49,46337;-0,7676744;-0,0128
325;-0,5017977;0,5836178;-4,31352;49,57792;-0,6321675;-0,0105
326;-0,4992594;0,6090829;-4,321843;49,69231;-0,5019023;-0,0084
327;-0,4966184;0,6337043;-4,330122;49,80655;-0,3755023;-0,0063
328;-0,493878;0,6575605;-4,338355;49,92062;-0,2525856;-0,0042
329;-0,4910407;0,6808231;-4,346541;50,03452;-0,1323057;-0,0022
